Confirmed,Country,End date,Level,Place,Start date,URL
,Spain,04/26/2020,State,Astrius,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Zamora,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Navarra,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Soria,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Huelva,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Logu,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Almeria,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Velladolis,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Palencia,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Avila,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Madrid,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,la Coruna,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Barcelorna,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Cadiz,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Malaga,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Ourense,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Segovia,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Gerona,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Germany,04/19/2020,State,Baden-Württemberg,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,State,Berlin,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,State,Bavaria,03/20/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,State,Brandenburg,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,State,Bremen,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,State,Hamburg,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,Wiesbaden,Hesse,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,Hanover,Lower Saxony,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,Schwerin,Mecklenburg-Vorpommern,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,Dusseldorf,"North Rhine-,//
Westphalia",22.03.2022,thelocal/https://www/de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,Mainz,Rhineland-Palatinate,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,Saarbrucken,Saarland,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,Dresden,Saxony,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,Magdeburg,Saxony-Anhalt,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,Kiel,Schleswig-Holstein,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Germany,04/19/2020,Erfurt,Thuringia,03/22/2022,https://www.thelocal.de/20200407/when-and-how-will-germanys-lockdown-measures-end
,Iran,04/18/2020,State,Tehran,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Qom,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Markazi,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Qazvin,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Gilan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Ardabil,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Zanjan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,East Azarbijan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,West Azarbijan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Kurdistan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Hamadan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Kermanshah,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Ilan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,lorestan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Khuzistan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Chahar Mahaal,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Kohkiluyeh and Buyer Ahmad,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Bushehr,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Fars,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Hormozgan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Sistan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Kerman,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Yezd,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Esfahan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Semnan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Mazandaran,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Gulestan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,North Khoresan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Razavi Khorasan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,South Khorasan,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,Iran,04/18/2020,State,Alborz,03/11/2049,https://www.bloomberg.com/news/articles/2020-04-05/iran-to-ease-some-work-restrictions-as-coronavirus-cases-climb
,England,,State,South East,03/23/2020,https://www.express.co.uk/news/uk/1264929/lockdown-end-date-when-will-lockdown-be-lifted-how-long-last-coronavirus
,England,,State,London,03/23/2020,https://www.express.co.uk/news/uk/1264929/lockdown-end-date-when-will-lockdown-be-lifted-how-long-last-coronavirus
,England,,State,North West,03/23/2020,https://www.express.co.uk/news/uk/1264929/lockdown-end-date-when-will-lockdown-be-lifted-how-long-last-coronavirus
,England,,State,East of England,03/23/2020,https://www.express.co.uk/news/uk/1264929/lockdown-end-date-when-will-lockdown-be-lifted-how-long-last-coronavirus
,England,,State,West Midlands,03/23/2020,https://www.express.co.uk/news/uk/1264929/lockdown-end-date-when-will-lockdown-be-lifted-how-long-last-coronavirus
,England,,State,South West,03/23/2020,https://www.express.co.uk/news/uk/1264929/lockdown-end-date-when-will-lockdown-be-lifted-how-long-last-coronavirus
,England,,State,Yorkshire and Hambar,03/23/2020,https://www.express.co.uk/news/uk/1264929/lockdown-end-date-when-will-lockdown-be-lifted-how-long-last-coronavirus
,England,,State,East Midland,03/23/2020,https://www.express.co.uk/news/uk/1264929/lockdown-end-date-when-will-lockdown-be-lifted-how-long-last-coronavirus
,England,,State,North East,03/23/2020,https://www.express.co.uk/news/uk/1264929/lockdown-end-date-when-will-lockdown-be-lifted-how-long-last-coronavirus
,Turkey,04/30/2020,State,Adana,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Adıyaman,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Afyonkarahisar,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Agri,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Amasya,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Ankara,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Antaliya,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Artavin,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Aydin,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Balikesir ,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Belicik,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Bingol,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Bitlis,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Bolu,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Burdur,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Bursa,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Canakkale,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Cankiri,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Corum,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Denzili,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Diyarbakir,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Edirine,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Elazig,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Erzincan,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Erzurum,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Eskisehir,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Gaziantep,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Giresun,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Gumushene,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Hakkari,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Hatay,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Isparta,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Mersin,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Istanbul,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Izmir,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Kars,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Kastamonu,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Kayseri,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Kirklareli,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Kirsehir,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Kocaeli,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Konya,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Kutahya,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Malatya,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Manisa,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Mardin,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Mugla,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Mus,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
,Turkey,04/30/2020,State,Nevsehir,03/26/2020,https://www.al-monitor.com/pulse/originals/2020/03/turkey-considers-total-lockdown-coronavirus.html
