Confirmed,Country,End date,Level,Place,Start date,URL
,Algeria,4/14/2020,City,Algiers,3/23/2020,
,Algeria,4/14/2020,City,Blida,3/23/2020,
,Argentina,4/12/2020,National,,3/19/2020,
,Australia,4/24/2020,National,,3/23/2020,
,Austria,4/13/2020,National,,3/16/2020,
,Belgium,4/18/2020,National,,3/18/2020,
,Bolivia,4/14/2020,National,,3/22/2020,
,Brazil,4/8/2020,State,Santa Catarina,3/17/2020,
,Brazil,4/7/2020,State,Ṣo Paulo,3/24/2020,
,Chile,4/14/2020,National,,3/19/2020,
,Colombia,4/13/2020,National,,3/25/2020,
,Costa Rica,4/13/2020,National,,3/23/2020,
,Cuba,4/19/2020,National,,3/23/2020,
,Denmark,4/13/2020,National,,3/11/2020,
,Dominican Republic,4/3/2020,National,,3/19/2020,
,Ecuador,3/31/2020,National,,3/16/2020,
,Fiji,4/10/2020,City,Lautoka,3/20/2020,
,Finland,4/14/2020,Region,Uusimaa,3/27/2020,
,France,4/15/2020,National,,3/17/2020,
,Germany,4/3/2020,State,Bavaria,3/20/2020,
,Germany,4/3/2020,City,"Freiburg, BW",3/21/2020,
,Ghana,4/14/2020,Metropolitan Area,Accra,3/30/2020,
,Ghana,4/14/2020,Metropolitan Area,Kumasi,3/30/2020,
,Greece,4/6/2020,National,,3/23/2020,
,Honduras,4/12/2020,National,,3/17/2020,
,Hungary,4/11/2020,National,,3/28/2020,
,Indonesia,7/25/2020,City,Tegal,3/26/2020,
,Iraq,4/11/2020,National,,3/22/2020,
,Ireland,4/12/2020,National,,3/12/2020,
,Italy,4/12/2020,National,,3/9/2020,
,Jordan,4/12/2020,National,,3/21/2020,
,Liberia,4/14/2020,County,Margibi,3/23/2020,
,Liberia,4/14/2020,County,Montserrado,3/23/2020,
,Libya,4/20/2020,National,,3/22/2020,
,Madagascar,4/12/2020,City,Antananarivo,3/23/2020,
,Madagascar,4/12/2020,City,Toamasina,3/23/2020,
,Malaysia,4/14/2020,National,,3/18/2020,
,Montenegro,4/14/2020,Municipality,Tuzi,3/24/2020,
,Morocco,4/20/2020,National,,3/19/2020,
,Nepal,4/7/2020,National,,3/24/2020,
,New Zealand,4/19/2020,National,,3/26/2020,
,Nigeria,4/14/2020,City,Abuja,3/30/2020,
,Nigeria,4/14/2020,City,Lagos,3/30/2020,
,Nigeria,4/14/2020,State,Ogun,3/30/2020,
,Norway,4/13/2020,National,,3/12/2020,
,Pakistan,4/7/2020,Administrative,Azad Kashmir,3/24/2020,
,Pakistan,4/7/2020,Province,Balochistan,3/24/2020,
,Pakistan,4/10/2020,Administrative,Gilgit-Baltistan,3/22/2020,
,Pakistan,4/6/2020,Province,Punjab,3/24/2020,
,Pakistan,4/7/2020,Province,Sindh,3/24/2020,
,Panama,4/13/2020,National,,3/25/2020,
,Papua New Guinea,4/13/2020,National,,3/24/2020,
,Paraguay,4/12/2020,National,,3/20/2020,
,Philippines,4/15/2020,Province,Cebu,3/27/2020,
,Philippines,4/14/2020,Region,Davao Region,3/19/2020,
,Philippines,4/14/2020,Island group,Luzon,3/15/2020,
,Philippines,4/14/2020,Region,Soccsksargen,3/23/2020,
,Poland,4/12/2020,National,,3/13/2020,
,Portugal,4/2/2020,National,,3/19/2020,
,Romania,4/14/2020,National,,3/25/2020,
,Russia,4/12/2020,Metropolitan area,Moscow,3/30/2020,
,Rwanda,4/12/2020,National,,3/21/2020,
,Samoa,4/9/2020,National,,3/26/2020,
,Saudi Arabia,4/14/2020,City,Jeddah,3/29/2020,
,Saudi Arabia,4/14/2020,City,Mecca,3/26/2020,
,Saudi Arabia,4/14/2020,City,Medina,3/26/2020,
,Saudi Arabia,4/14/2020,Area,Qatif,3/9/2020,
,Saudi Arabia,4/14/2020,City,Riyadh,3/26/2020,
,South Africa,4/16/2020,National,,3/26/2020,
,Spain,4/14/2020,National,,3/14/2020,
,Tunisia,4/11/2020,National,,3/22/2020,
,United Kingdom,4/13/2020,National,,3/23/2020,
,United States,4/20/2020,County,"Clark County, NV",3/20/2020,
,United States,4/23/2020,City,"Kansas City, KS",3/24/2020,
,Venezuela,4/19/2020,National,,3/17/2020,
,Zimbabwe,4/12/2020,National,,3/30/2020,
,United States,4/11/2020,State,Alaska,3/28/2020,
,United States,,State,Arizona,3/31/2020,
,United States,,State,California,3/19/2020,
,United States,4/11/2020,State,Colorado,3/26/2020,
,United States,,State,Connecticut,3/23/2020,
,United States,5/15/2020,State,Delaware,3/24/2020,
,United States,,State,District of Columbia,4/1/2020,
,United States,4/30/2020,State,Hawaii,3/25/2020,
,United States,4/15/2020,State,Idaho,3/25/2020,
,United States,4/7/2020,State,Illinois,3/21/2020,
,United States,4/6/2020,State,Indiana,3/24/2020,
,United States,4/19/2020,State,Kansas,3/30/2020,
,United States,4/12/2020,State,Louisiana,3/23/2020,
,United States,5/4/2020,State,Massachusetts,3/24/2020,
,United States,4/14/2020,State,Michigan,3/24/2020,
,United States,4/10/2020,State,Minnesota,3/27/2020,
,United States,,State,Montana,3/28/2020,
,United States,5/4/2020,State,New Hampshire,3/27/2020,
,United States,,State,New Jersey,3/21/2020,
,United States,,State,New Mexico,3/24/2020,
,United States,,State,New York,3/22/2020,
,United States,,State,North Carolina,3/30/2020,
,United States,4/6/2020,State,Ohio,3/23/2020,
,United States,,State,Oregon,3/23/2020,
,United States,4/26/2020,State,Rhode Island,3/30/2020,
,United States,,State,Washington,3/25/2020,
,United States,,State,West Virginia,3/24/2020,
,United States,4/24/2020,State,Wisconsin,3/25/2020,
,United States,4/15/2020,State,Vermont,3/25/2020,
,United States,4/7/2020,State,Maryland,3/23/2020,
,United States,,State,Nevada,3/17/2020,
,United States,4/23/2020,State,Virginia,3/24/2020,
,United States,,State,Kentucky,3/23/2020,
,United States,,State,Georgia,3/23/2020,
,United States,4/30/2020,State,Oklahoma,3/25/2020,
,Lithuania,4/13/2020,National,,3/16/2020,
,United Arab Emirates,4/5/2020,National,,3/22/2020,
,Lebanon,4/12/2020,National,,3/22/2020,
,Kuwait,,National,,3/14/2020,
,India,4/14/2020,National,,3/24/2020,
,Peru,4/12/2020,National,,3/16/2020,
,Canada,,Province,Quebec,3/13/2020,
,El Salvador,4/20/2020,National,,3/21/2020,
,Czech Republic,4/12/2020,National,,3/22/2020,
Confirmed,China,4/8/2020,City,Wuhan,1/23/2020,
Confirmed,China,3/25/2020,City,Xiaogan,1/24/2020,
Confirmed,China,3/25/2020,City,Huanggang,1/23/2020,
Confirmed,China,3/17/2020,City,Jingzhou,1/24/2020,
Confirmed,China,3/25/2020,City,Ezhou,1/23/2020,
Confirmed,China,3/25/2020,City,Suizhou,1/24/2020,
Confirmed,China,3/25/2020,City,Xiangyang,1/28/2020,
Confirmed,China,3/13/2020,City,Huangshi,1/24/2020,
Confirmed,China,3/25/2020,City,Yichang,1/24/2020,
Confirmed,China,3/25/2020,City,Jingmen,1/24/2020,
Confirmed,China,3/25/2020,City,Xianning,1/24/2020,
Confirmed,China,3/25/2020,City,Shiyan,1/24/2020,
Confirmed,China,3/25/2020,City,Xiantao,1/24/2020,
Confirmed,China,3/25/2020,City,Tianmen,1/24/2020,
Confirmed,China,3/25/2020,City,Enshi,1/24/2020,
Confirmed,China,3/13/2020,City,Qianjiang,1/24/2020,
,Spain,04/26/2020,State,Badajoz,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Caceres,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Cuided Real,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Zaragoza,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Cuenca,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Huesca,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Leon,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Toleda,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Albacete,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Teruel,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Burgos,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Sevilla,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Cordoba,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Jaen,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Granada,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Salamanca,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Guadalajara,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Lerida,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Murcia,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
,Spain,04/26/2020,State,Valencia,03/16/2020,https://www.thelocal.es/20200403/when-and-how-will-spains-lockdown-measures-end
